id,latitude_deg,longitude_deg
00A,40.07080078,-74.93360138
00AK,59.94919968,-151.6959991
00AL,34.8647995,-86.77030182
00AR,35.6086998,-91.25489807
00AZ,34.30559921,-112.1650009
00CA,35.3504982,-116.8880005
00CO,40.62220001,-104.3440018
00FA,28.64550018,-82.21900177
00FD,28.84659958,-82.34539795
00FL,27.23089981,-80.96920013
00GA,33.76750183,-84.06829834
00GE,33.88420105,-84.73390198
00HI,19.83250046,-155.9819946
00ID,48.14530182,-116.2139969
00II,41.64450073,-87.12280273
00IL,41.97840118,-89.56040192
00IN,41.51139832,-87.26059723
00IS,40.02560043,-89.12290192
00KS,38.72779846,-94.93049622
00KY,37.40940094,-84.61969757
00LA,30.191944,-90.980833
00LL,39.66529846,-89.70559692
00LS,30.13629913,-92.42939758
00MD,38.75709915,-75.75379944
00MI,43.94940186,-86.41670227
00MN,46.29999924,-95.70030212
00MO,37.20280075,-94.41239929
00MT,48.53749847,-109.7050018
00N,39.47320175,-75.18520355
00NC,36.08520126,-78.37139893
00NJ,40.52090073,-74.47460175
00NY,42.90010071,-77.49970245
00OH,41.59090042,-84.14219666
00OI,39.74530029,-84.18740082
00OR,44.93289948,-123.1299973
00PA,39.94889832,-75.74690247
00PN,41.2995,-80.211111
00PS,40.37779999,-77.36530304
00S,44.18320084,-122.0889969
00SC,34.00939941,-80.26719666
00TA,32.82690048,-97.30580139
00TE,32.84759903,-97.1894989
00TN,35.51589966,-85.95359802
00TS,32.60760117,-97.24199677
00TX,29.73769951,-94.98020172
00UT,37.24779892,-112.8219986
00VA,36.57600021,-78.9991684
00VI,36.66329956,-80.49949646
00W,46.67350006,-117.4430008
00WA,47.17839813,-122.7720032
00WI,44.3042984,-89.05010223
00WN,46.25,-117.2490005
00WV,38.82889938,-79.8660965
00XS,33.03340149,-101.9339981
01A,62.9435997,-152.2700043
01AK,60.10587398,-149.446249
01AL,32.94599915,-86.51390076
01AR,34.04729843,-94.35489655
01AZ,34.60810089,-111.8649979
01C,43.34170151,-85.77500153
01CA,34.36824059,-117.3700587
01CL,38.79990005,-120.7340012
01CN,34.03779984,-118.1539993
01CO,39.24530029,-106.2460022
01CT,41.62730026,-72.72750092
01FA,28.58939934,-81.14420319
01FD,28.66640091,-81.37059784
01FL,28.78190041,-81.15920258
01GA,32.47930145,-84.97910309
01GE,32.67440033,-82.77110291
01IA,41.66109848,-90.74130249
01ID,42.60820007,-112.0319977
01II,39.88499832,-86.50669861
01IL,40.45859909,-87.65950012
01IN,40.13090134,-85.69580078
01IS,39.01620102,-90.31819916
01J,30.68630028,-81.90570068
01K,37.03609848,-97.58640289
01KS,38.54059982,-97.00330353
01KY,37.05170059,-88.64689636
01LA,32.63899994,-91.7736969
01LL,38.12580109,-89.46389771
01LS,30.70599937,-91.07740021
01MA,42.62509918,-71.18009949
01MD,38.999199,-76.456001
01ME,46.77890015,-68.50029755
01MI,43.04949951,-83.67970276
01MN,47.89960098,-92.55740356
01MO,38.64170074,-90.48429871
01MT,48.78910065,-114.8799973
01NC,34.47529984,-77.58139801
01NE,40.84360123,-100.6529999
01NH,43.64450073,-72.08699799
01NJ,40.7417984,-74.13710022
01NM,33.008611,-104.540278
01NV,38.76390076,-119.0270004
01NY,41.70009995,-73.94960022
01OI,40.73059845,-82.8015976
01OK,35.29449844,-98.6364975
01OR,43.11930084,-121.0449982
01PA,40.6556015,-80.05090332
01PN,40.93059921,-77.73889923
01PS,41.59590149,-76.02960205
01SC,35.03210068,-81.25279999
01TA,32.69419861,-97.11579895
01TE,32.73759842,-96.4280014
01TN,34.9958992,-89.73059845
01TS,32.72850037,-97.32450104
01TX,32.38759995,-96.87750244
01U,38.85160065,-115.6340027
01UT,38.30830002,-109.3960037
01VA,39.125,-77.92500305
01WA,46.66320038,-123.8119965
01WI,44.00999832,-90.3891983
01WN,48.21340179,-122.6849976
01WT,47.518178,-122.210908
01WY,44.34719849,-104.810997
01XA,30.007222,-97.853333
01XS,32.02019882,-95.74549866
02AK,61.87689972,-150.0980072
02AL,30.37150002,-87.76439667
02AR,34.82244492,-92.44441986
02AZ,32.37639999,-109.9369965
02CA,33.58250046,-118.1289978
02CD,34.12960052,-90.52400208
02CL,34.76110077,-119.0589981
02CO,37.6432991,-106.0469971
02CT,41.91960144,-72.44450378
02FA,28.52669907,-81.87480164
02FL,30.642778,-86.123889
02GA,34.20259857,-83.42900085
02GE,34.1753006,-84.92440033
02HI,21.36199951,-157.951004
02IA,42.05609894,-93.87799835
02ID,44.55550003,-115.3050003
02II,40.06230164,-86.21050262
02IN,40.20890045,-85.540802
02IS,42.27460098,-87.95729828
02KS,39.22219849,-96.05529785
02KY,38.1833992,-84.89990234
02LA,32.53129959,-93.66020203
02LS,30.14830017,-91.91899872
02MA,41.41960144,-70.92700195
02ME,43.53730011,-70.92939758
02MI,43.15710068,-85.14849854
02MN,48.68330002,-96.19200134
02MO,39.04999924,-91.03350067
02MS,34.10010147,-90.84680176
02MT,47.23740005,-111.7419968
02MU,36.65420151,-93.79740143
02NC,35.541111,-80.597778
02NE,41.07450104,-96.90450287
02NH,44.65710068,-71.21910095
02NJ,40.55730057,-74.46710205
02NV,41.30329895,-118.5979996
02NY,43.13259888,-75.65550232
02OH,41.37639999,-83.08329773
02OI,41.80199814,-80.56539917
02OK,35.45840073,-97.52529907
02OR,45.68149948,-121.3160019
02P,40.40359879,-77.55660248
02PA,40.43830109,-79.76999664
02PN,40.06959915,-75.4552002
02PR,18.45330048,-66.36689758
02PS,41.90060043,-77.2303009
02SC,32.75849915,-81.22480011
02T,45.76910019,-112.9820023
02TA,28.72139931,-95.87380219
02TE,32.395401,-96.86419678
02TN,35.7806015,-86.584198
02TS,32.74760056,-97.37000275
02TX,33.37040329,-101.9228821
02UT,41.36629868,-113.8430023
02VA,38.43569946,-77.85720062
02VG,36.63880157,-82.11669922
02WA,47.15230179,-122.0940018
02WI,45.0318985,-92.65579987
02WN,48.74580002,-119.3190002
02XS,30.14769936,-97.66280365
03AK,60.72722244,-151.132782
03AL,34.66249847,-86.04720306
03AR,34.35760117,-92.78849792
03AZ,31.4333992,-110.0839996
03CA,32.779484,-117.006952
03CO,40.21250153,-104.7440033
03FA,27.35309982,-81.40809631
03FD,30.8288002,-85.73100281
03FL,26.68370056,-80.18730164
03I,39.64419937,-83.01820374
03IA,41.58190155,-92.46130371
03ID,44.79430008,-116.5329971
03II,37.9620018,-87.77890015
03IL,41.40230179,-87.8167038
03IN,40.18000031,-86.01249695
03IS,38.90499878,-90.17340088
03KS,39.86470032,-95.26409912
03KY,37.79169846,-87.54139709
03LA,30.19960022,-91.12789917
03LS,32.1590004,-91.70800018
03M,44.32089996,-69.88950348
03MA,42.39310074,-72.55200195
03MD,39.52249908,-76.3266983
03ME,44.08420181,-70.62729645
03MI,43.55089951,-83.86219788
03MN,43.62519836,-95.22470093
03MO,37.8844986,-93.13159943
03MS,32.31880188,-90.8832016
03MT,47.27080154,-111.7220001
03MU,38.49250031,-94.41249847
03N,11.222,169.852005
03NC,34.10430145,-77.90419769
03ND,48.62639999,-97.82900238
03NE,41.54639816,-99.33119965
03NH,42.81539917,-71.12439728
03NJ,40.66870117,-74.41069794
03NV,40.58440018,-115.2979965
03NY,40.95840073,-72.71679688
03OH,41.41839981,-83.01740265
03OI,41.42089844,-81.59980011
03OK,36.04119873,-96.16139984
03OR,45.85540009,-117.4840012
03PA,40.16289902,-75.46569824
03PN,41.066861,-76.180806
03PS,40.84999847,-77.9056015
03S,45.40179825,-122.2289963
03SC,33.86500168,-78.66190338
03TA,30.26269913,-96.50019836
03TE,27.49110031,-98.66950226
03TN,35.92250061,-83.57939911
03TS,31.4598999,-100.4380035
03TX,29.58160019,-95.30719757
03UT,37.12080002,-109.9860001
03VA,38.66460037,-77.57969666
03WA,47.40819931,-117.3720016
03WI,44.02750015,-88.88089752
03WN,45.875,-120.6699982
03XS,31.31809998,-100.7539978
04AL,33.62639999,-85.96720123
